variant,pairing
Aglianico,Cheddar
Barbera,Gruyere
Cabernet Franc,Gruyere
Cabernet Sauvignon,Cheddar
Carignan,Gruyere
Carmenere,Gruyere
Chardonnay,Brie
Cinsault,Gruyere
Ensamblaje Blanco,Brie
Ensamblaje Tinto,Cheddar
Espumoso,Feta
Garnacha,Gruyere
Garnacha Blanca,Brie
Gewurztraminer,Stilton
Glera,Feta
Grenache,Gruyere
Late Harvest,Stilton
Malbec,Cheddar
Marselan,Cheddar
Merlot,Gruyere
Montepulciano,Gruyere
Moscatel Blanca,Stilton
Moscatel De Alejandria,Feta
Moscatel Negro,Stilton
Mourvedre,Cheddar
Pais,Cheddar
Petit Verdot,Gruyere
Petite Sirah,Cheddar
Pinot Grigio,Feta
Pinot Noir,Gruyere
Riesling,Stilton
Romano,Cheddar
Rose,Feta
San Francisco,Cheddar
Sauvignon Blanc,Feta
Sauvignon Gris,Feta
Semillon,Feta
Shiraz,Cheddar
Syrah,Cheddar
Tempranillo,Gruyere
Torontel,Stilton
Viognier,Brie
Aglianico, Gouda
Barbera, Comte
Cabernet Franc, Comte
Cabernet Sauvignon, Gouda
Carignan, Comte
Carmenere, Comte
Chardonnay, Camembert
Cinsault, Comte
Ensamblaje Blanco, Camembert
Ensamblaje Tinto, Gouda
Espumoso, Cotija
Garnacha, Comte
Garnacha Blanca, Camembert
Gewurztraminer, Queso Azul
Glera, Cotija
Grenache, Comte
Late Harvest, Queso Azul
Malbec, Gouda
Marselan, Gouda
Merlot, Comte
Montepulciano, Comte
Moscatel Blanca, Queso Azul
Moscatel De Alejandria, Cotija
Moscatel Negro, Queso Azul
Mourvedre, Gouda
Pais, Gouda
Petit Verdot, Comte
Petite Sirah, Gouda
Pinot Grigio, Cotija
Pinot Noir, Comte
Riesling, Queso Azul
Romano, Gouda
Rose, Cotija
San Francisco, Gouda
Sauvignon Blanc, Cotija
Sauvignon Gris, Cotija
Semillon, Cotija
Shiraz, Gouda
Syrah, Gouda
Tempranillo, Comte
Torontel, Queso Azul
Viognier, Camembert
Aglianico, Colby
Barbera, Provolone
Cabernet Franc, Provolone
Cabernet Sauvignon, Colby
Carignan, Provolone
Carmenere, Provolone
Chardonnay, Epoisses
Cinsault, Provolone
Ensamblaje Blanco, Epoisses
Ensamblaje Tinto, Colby
Espumoso, Queso Fresco
Garnacha, Provolone
Garnacha Blanca, Epoisses
Gewurztraminer, Roquefort
Glera, Queso Fresco
Grenache, Provolone
Late Harvest, Roquefort
Malbec, Colby
Marselan, Colby
Merlot, Provolone
Montepulciano, Provolone
Moscatel Blanca, Roquefort
Moscatel De Alejandria, Queso Fresco
Moscatel Negro, Roquefort
Mourvedre, Colby
Pais, Colby
Petit Verdot, Provolone
Petite Sirah, Colby
Pinot Grigio, Queso Fresco
Pinot Noir, Provolone
Riesling, Roquefort
Romano, Colby
Rose, Queso Fresco
San Francisco, Colby
Sauvignon Blanc, Queso Fresco
Sauvignon Gris, Queso Fresco
Semillon, Queso Fresco
Shiraz, Colby
Syrah, Colby
Tempranillo, Provolone
Torontel, Roquefort
Viognier, Epoisses
Aglianico, Ossau-Iraty
Barbera, Edamental
Cabernet Franc, Edamental
Cabernet Sauvignon, Ossau-Iraty
Carignan, Edamental
Carmenere, Edamental
Chardonnay, Burrata
Cinsault, Edamental
Ensamblaje Blanco, Burrata
Ensamblaje Tinto, Ossau-Iraty
Espumoso, Halloumi
Garnacha, Edamental
Garnacha Blanca, Burrata
Gewurztraminer, Gorgonzola
Glera, Halloumi
Grenache, Edamental
Late Harvest, Gorgonzola
Malbec, Ossau-Iraty
Marselan, Ossau-Iraty
Merlot, Edamental
Montepulciano, Edamental
Moscatel Blanca, Gorgonzola
Moscatel De Alejandria, Halloumi
Moscatel Negro, Gorgonzola
Mourvedre, Ossau-Iraty
Pais, Ossau-Iraty
Petit Verdot, Edamental
Petite Sirah, Ossau-Iraty
Pinot Grigio, Halloumi
Pinot Noir, Edamental
Riesling, Gorgonzola
Romano, Ossau-Iraty
Rose, Halloumi
San Francisco, Ossau-Iraty
Sauvignon Blanc, Halloumi
Sauvignon Gris, Halloumi
Semillon, Halloumi
Shiraz, Ossau-Iraty
Syrah, Ossau-Iraty
Tempranillo, Edamental
Torontel, Gorgonzola
Viognier, Burrata
Aglianico, Muenster
Barbera, Mozzarela
Cabernet Franc, Mozzarela
Cabernet Sauvignon, Muenster
Carignan, Mozzarela
Carmenere, Mozzarela
Chardonnay, Delice de Bougorgne
Cinsault, Mozzarela
Ensamblaje Blanco, Delice de Bougorgne
Ensamblaje Tinto, Muenster
Espumoso, Mizithra
Garnacha, Mozzarela
Garnacha Blanca, Delice de Bougorgne
Gewurztraminer, Brie
Glera, Mizithra
Grenache, Mozzarela
Late Harvest, Brie
Malbec, Muenster
Marselan, Muenster
Merlot, Mozzarela
Montepulciano, Mozzarela
Moscatel Blanca, Brie
Moscatel De Alejandria, Mizithra
Moscatel Negro, Brie
Mourvedre, Muenster
Pais, Muenster
Petit Verdot, Mozzarela
Petite Sirah, Muenster
Pinot Grigio, Mizithra
Pinot Noir, Mozzarela
Riesling, Brie
Romano, Muenster
Rose, Mizithra
San Francisco, Muenster
Sauvignon Blanc, Mizithra
Sauvignon Gris, Mizithra
Semillon, Mizithra
Shiraz, Muenster
Syrah, Muenster
Tempranillo, Mozzarela
Torontel, Brie
Viognier, Delice de Bougorgne
Aglianico, Carne de Res
Barbera, Scamorza
Cabernet Franc, Scamorza
Cabernet Sauvignon, Carne de Res
Carignan, Scamorza
Carmenere, Scamorza
Chardonnay, Gruyere
Cinsault, Scamorza
Ensamblaje Blanco, Gruyere
Ensamblaje Tinto, Carne de Res
Espumoso, Crema Agria
Garnacha, Scamorza
Garnacha Blanca, Gruyere
Gewurztraminer, Camembert
Glera, Crema Agria
Grenache, Scamorza
Late Harvest, Camembert
Malbec, Carne de Res
Marselan, Carne de Res
Merlot, Scamorza
Montepulciano, Scamorza
Moscatel Blanca, Camembert
Moscatel De Alejandria, Crema Agria
Moscatel Negro, Camembert
Mourvedre, Carne de Res
Pais, Carne de Res
Petit Verdot, Scamorza
Petite Sirah, Carne de Res
Pinot Grigio, Crema Agria
Pinot Noir, Scamorza
Riesling, Camembert
Romano, Carne de Res
Rose, Pollo
San Francisco, Carne de Res
Sauvignon Blanc, Crema Agria
Sauvignon Gris, Crema Agria
Semillon, Crema Agria
Shiraz, Carne de Res
