brand,gender,age,ses,rank
7 COLORES,MUJER,55-75,D/E,50
7 COLORES,HOMBRE,45-54,C3,64
7 COLORES,MUJER,45-54,C3,75
7 COLORES,MUJER,25-34,ABC1,78
7 COLORES,MUJER,35-44,ABC1,95
7 COLORES,MUJER,25-34,D/E,109
7 COLORES,HOMBRE,45-54,C2,111
7 COLORES,MUJER,35-44,C3,120
7 COLORES,HOMBRE,25-34,D/E,120
7 COLORES,HOMBRE,35-44,ABC1,123
7 COLORES,HOMBRE,35-44,C2,156
ARBOLEDA,HOMBRE,45-54,C3,58
ARBOLEDA,MUJER,18-24,D/E,64
ARBOLEDA,MUJER,45-54,ABC1,69
ARBOLEDA,HOMBRE,25-34,D/E,87
ARBOLEDA,MUJER,35-44,D/E,89
ARBOLEDA,MUJER,35-44,ABC1,93
ARBOLEDA,MUJER,25-34,D/E,101
ARBOLEDA,MUJER,35-44,C3,106
ARESTI,MUJER,55-75,C2,20
ARESTI,HOMBRE,25-34,ABC1,35
ARESTI,MUJER,45-54,ABC1,40
ARESTI,HOMBRE,45-54,ABC1,42
ARESTI,HOMBRE,25-34,C3,45
ARESTI,MUJER,45-54,C2,55
ARESTI,MUJER,55-75,C3,56
ARESTI,HOMBRE,45-54,C3,62
ARESTI,HOMBRE,45-54,D/E,62
ARESTI,MUJER,55-75,ABC1,62
ARESTI,HOMBRE,35-44,C2,71
ARESTI,MUJER,18-24,C3,71
ARESTI,MUJER,35-44,ABC1,71
ARESTI,MUJER,35-44,D/E,72
ARESTI,MUJER,25-34,D/E,73
ARESTI,MUJER,18-24,ABC1,73
ARESTI,HOMBRE,25-34,D/E,75
ARESTI,MUJER,45-54,C3,83
ARESTI,HOMBRE,35-44,D/E,83
ARESTI,MUJER,18-24,C2,86
ARESTI,HOMBRE,25-34,C2,87
ARESTI,MUJER,35-44,C2,91
ARESTI,MUJER,25-34,C2,92
ARESTI,MUJER,18-24,D/E,99
ARESTI,MUJER,45-54,D/E,101
ARESTI,MUJER,25-34,ABC1,103
ARESTI,MUJER,35-44,C3,109
ARESTI,HOMBRE,35-44,ABC1,120
ARESTI,HOMBRE,45-54,C2,128
ARESTI,MUJER,25-34,C3,135
BISQUERTT,MUJER,18-24,C2,63
BISQUERTT,HOMBRE,25-34,C2,73
BISQUERTT,HOMBRE,45-54,C2,75
BISQUERTT,MUJER,35-44,C3,84
BISQUERTT,MUJER,25-34,ABC1,93
BISQUERTT,MUJER,45-54,C3,94
BISQUERTT,MUJER,35-44,C2,97
BISQUERTT,HOMBRE,35-44,D/E,101
BISQUERTT,MUJER,25-34,C3,105
BISQUERTT,HOMBRE,25-34,C3,107
BISQUERTT,MUJER,35-44,D/E,118
BISQUERTT,MUJER,25-34,C2,125
BISQUERTT,HOMBRE,35-44,C2,126
BISQUERTT,HOMBRE,25-34,D/E,126
BISQUERTT,MUJER,35-44,ABC1,129
BISQUERTT,MUJER,18-24,C2,63
BISQUERTT,HOMBRE,25-34,C2,73
BISQUERTT,HOMBRE,45-54,C2,75
BISQUERTT,MUJER,35-44,C3,84
BISQUERTT,MUJER,25-34,ABC1,93
BISQUERTT,MUJER,45-54,C3,94
BISQUERTT,MUJER,35-44,C2,97
BISQUERTT,HOMBRE,35-44,D/E,101
BISQUERTT,MUJER,25-34,C3,105
BISQUERTT,HOMBRE,25-34,C3,107
BISQUERTT,MUJER,35-44,D/E,118
BISQUERTT,MUJER,25-34,C2,125
BISQUERTT,HOMBRE,35-44,C2,126
BISQUERTT,HOMBRE,25-34,D/E,126
BISQUERTT,MUJER,35-44,ABC1,129
CALCU,HOMBRE,55-75,D/E,29
CALCU,HOMBRE,18-24,D/E,34
CALCU,HOMBRE,18-24,C2,38
CALCU,HOMBRE,25-34,ABC1,39
CALCU,MUJER,45-54,ABC1,51
CALCU,HOMBRE,25-34,C2,67
CALCU,HOMBRE,25-34,D/E,70
CALCU,MUJER,45-54,C2,74
CALCU,MUJER,25-34,C3,94
CALCU,HOMBRE,45-54,ABC1,94
CALCU,HOMBRE,35-44,C2,111
CALCU,MUJER,25-34,C2,115
CALCU,HOMBRE,45-54,C2,116
CALCU,MUJER,35-44,ABC1,118
CALITERRA,HOMBRE,55-75,C2,29
CALITERRA,HOMBRE,35-44,C3,32
CALITERRA,HOMBRE,45-54,C2,36
CALITERRA,HOMBRE,55-75,D/E,41
CALITERRA,MUJER,35-44,ABC1,44
CALITERRA,MUJER,45-54,ABC1,44
CALITERRA,HOMBRE,18-24,D/E,46
CALITERRA,MUJER,45-54,C2,47
CALITERRA,MUJER,45-54,D/E,48
CALITERRA,MUJER,18-24,D/E,49
CALITERRA,MUJER,25-34,ABC1,49
CALITERRA,HOMBRE,55-75,C3,52
CALITERRA,HOMBRE,35-44,C2,53
CALITERRA,HOMBRE,45-54,ABC1,56
CALITERRA,MUJER,25-34,D/E,57
CALITERRA,MUJER,25-34,C3,60
CALITERRA,MUJER,35-44,C2,66
CALITERRA,HOMBRE,25-34,C2,68
CALITERRA,MUJER,35-44,D/E,68
CALITERRA,HOMBRE,35-44,ABC1,68
CALITERRA,MUJER,25-34,C2,69
CALITERRA,MUJER,18-24,ABC1,70
CALITERRA,MUJER,55-75,C2,75
CALITERRA,MUJER,55-75,C3,78
CALITERRA,HOMBRE,25-34,ABC1,78
CALITERRA,HOMBRE,25-34,C3,79
CALITERRA,MUJER,18-24,C2,80
CALITERRA,HOMBRE,45-54,D/E,82
CALITERRA,MUJER,18-24,C3,87
CALITERRA,MUJER,35-44,C3,90
CALITERRA,MUJER,45-54,C3,122
CALITERRA,HOMBRE,25-34,D/E,129
CALITERRA,HOMBRE,55-75,C2,29
