brand;gender;age;ses;rank
7 Colores;MUJER;55+;D/E;50
7 Colores;HOMBRE;45-54;C3;64
7 Colores;MUJER;45-54;C3;75
7 Colores;MUJER;25-34;ABC1;78
7 Colores;MUJER;35-44;ABC1;95
7 Colores;MUJER;25-34;D/E;109
7 Colores;HOMBRE;45-54;C2;111
7 Colores;MUJER;35-44;C3;120
7 Colores;HOMBRE;25-34;D/E;120
7 Colores;HOMBRE;35-44;ABC1;123
7 Colores;HOMBRE;35-44;C2;156
Arboleda;HOMBRE;45-54;C3;58
Arboleda;MUJER;18-24;D/E;64
Arboleda;MUJER;45-54;ABC1;69
Arboleda;HOMBRE;25-34;D/E;87
Arboleda;MUJER;35-44;D/E;89
Arboleda;MUJER;35-44;ABC1;93
Arboleda;MUJER;25-34;D/E;101
Arboleda;MUJER;35-44;C3;106
Aresti;MUJER;55+;C2;20
Aresti;HOMBRE;25-34;ABC1;35
Aresti;MUJER;45-54;ABC1;40
Aresti;HOMBRE;45-54;ABC1;42
Aresti;HOMBRE;25-34;C3;45
Aresti;MUJER;45-54;C2;55
Aresti;MUJER;55+;C3;56
Aresti;HOMBRE;45-54;C3;62
Aresti;HOMBRE;45-54;D/E;62
Aresti;MUJER;55+;ABC1;62
Aresti;HOMBRE;35-44;C2;71
Aresti;MUJER;18-24;C3;71
Aresti;MUJER;35-44;ABC1;71
Aresti;MUJER;35-44;D/E;72
Aresti;MUJER;25-34;D/E;73
Aresti;MUJER;18-24;ABC1;73
Aresti;HOMBRE;25-34;D/E;75
Aresti;MUJER;45-54;C3;83
Aresti;HOMBRE;35-44;D/E;83
Aresti;MUJER;18-24;C2;86
Aresti;HOMBRE;25-34;C2;87
Aresti;MUJER;35-44;C2;91
Aresti;MUJER;25-34;C2;92
Aresti;MUJER;18-24;D/E;99
Aresti;MUJER;45-54;D/E;101
Aresti;MUJER;25-34;ABC1;103
Aresti;MUJER;35-44;C3;109
Aresti;HOMBRE;35-44;ABC1;120
Aresti;HOMBRE;45-54;C2;128
Aresti;MUJER;25-34;C3;135
Bisquertt;MUJER;18-24;C2;63
Bisquertt;HOMBRE;25-34;C2;73
Bisquertt;HOMBRE;45-54;C2;75
Bisquertt;MUJER;35-44;C3;84
Bisquertt;MUJER;25-34;ABC1;93
Bisquertt;MUJER;45-54;C3;94
Bisquertt;MUJER;35-44;C2;97
Bisquertt;HOMBRE;35-44;D/E;101
Bisquertt;MUJER;25-34;C3;105
Bisquertt;HOMBRE;25-34;C3;107
Bisquertt;MUJER;35-44;D/E;118
Bisquertt;MUJER;25-34;C2;125
Bisquertt;HOMBRE;35-44;C2;126
Bisquertt;HOMBRE;25-34;D/E;126
Bisquertt;MUJER;35-44;ABC1;129
Bisquertt;MUJER;18-24;C2;63
Bisquertt;HOMBRE;25-34;C2;73
Bisquertt;HOMBRE;45-54;C2;75
Bisquertt;MUJER;35-44;C3;84
Bisquertt;MUJER;25-34;ABC1;93
Bisquertt;MUJER;45-54;C3;94
Bisquertt;MUJER;35-44;C2;97
Bisquertt;HOMBRE;35-44;D/E;101
Bisquertt;MUJER;25-34;C3;105
Bisquertt;HOMBRE;25-34;C3;107
